time x y z
-9.058116232464930029e-01 2.302992701149595334e+01 1.841580121697676304e+02 3.749218187584351547e+00
-9.018036072144288706e-01 2.303598879136884747e+01 1.837291175755263168e+02 3.334334836513684230e+00
-8.977955911823647384e-01 2.304142713893330097e+01 1.832943396724587046e+02 2.920390086109478034e+00
-8.937875751503006061e-01 2.304635540551811701e+01 1.828547481530786740e+02 2.507213281705103380e+00
-8.897795591182364738e-01 2.305128367210293661e+01 1.824151566336986150e+02 2.094036477300728283e+00
-8.857715430861723416e-01 2.305621193868775265e+01 1.819755651143185844e+02 1.680859672896353629e+00
-8.817635270541082093e-01 2.306114020527256869e+01 1.815359735949385254e+02 1.267682868491978754e+00
-8.777555110220440771e-01 2.306501891765119439e+01 1.810864053890148853e+02 8.528586809275087166e-01
-8.737474949899799448e-01 2.306807298029637820e+01 1.806289983579498539e+02 4.367401208801069412e-01
-8.697394789579160346e-01 2.307112704294156558e+01 1.801715913268848510e+02 2.062156083272803642e-02
-8.657314629258519023e-01 2.307418110558674940e+01 1.797141842958198197e+02 -3.954969992146737390e-01
-8.617234468937877701e-01 2.307723516823193677e+01 1.792567772647547883e+02 -8.116155592620755144e-01
-8.577154308617236378e-01 2.307879874096014206e+01 1.787851577976979343e+02 -1.232060452342315759e+00
-8.537074148296595055e-01 2.307923790901413952e+01 1.783028166684016753e+02 -1.655769070342065330e+00
-8.496993987975953733e-01 2.307967707706813698e+01 1.778204755391053880e+02 -2.079477688341815345e+00
-8.456913827655312410e-01 2.308011624512213444e+01 1.773381344098091290e+02 -2.503186306341564915e+00
-8.416833667334671087e-01 2.308055541317612835e+01 1.768557932805128701e+02 -2.926894924341314486e+00
-8.376753507014029765e-01 2.307904834178933484e+01 1.763548615940456443e+02 -3.357701791292830862e+00
-8.336673346693388442e-01 2.307613192460058826e+01 1.758404677799718741e+02 -3.793648769554248457e+00
-8.296593186372747120e-01 2.307321550741184168e+01 1.753260739658980754e+02 -4.229595747815666051e+00
-8.256513026052105797e-01 2.307029909022309155e+01 1.748116801518243051e+02 -4.665542726077083202e+00
-8.216432865731464474e-01 2.306738267303434498e+01 1.742972863377505348e+02 -5.101489704338501241e+00
-8.176352705410823152e-01 2.306219489239971310e+01 1.737614026900953093e+02 -5.546213364109065402e+00
-8.136272545090181829e-01 2.305542870665861699e+01 1.732105854292733227e+02 -5.997036073741917939e+00
-8.096192384769540507e-01 2.304866252091751733e+01 1.726597681684513077e+02 -6.447858783374770475e+00
-8.056112224448899184e-01 2.304189633517642122e+01 1.721089509076293211e+02 -6.898681493007623899e+00
